episode,total_reward,avg_delay,avg_energy,completion_ratio,completed,failed,generated,standalone,collaborative,actor_loss,critic_loss
1,-203.8536,1.9899,9.9633,0.76,19,6,25,7,18,-214.4692,17193.4492
2,-232.365,2.3561,11.794,0.68,17,8,25,4,21,-242.0995,21252.4551
3,-224.2855,2.1775,10.9035,0.6,15,10,25,3,22,-236.8862,21294.3398
4,-240.4523,2.4893,12.4611,0.72,18,7,25,6,19,-246.3853,22657.0605
5,-199.5994,1.8491,9.2579,0.68,17,8,25,5,20,-213.5304,16653.834
6,-186.8907,1.8184,9.1075,0.6087,14,9,23,5,18,-195.0288,14421.2002
7,-193.1411,1.7491,8.758,0.68,17,8,25,7,18,-203.5434,15213.1025
8,-223.4972,2.2187,11.1077,0.68,17,8,25,8,17,-235.9002,20727.6543
9,-213.872,2.0699,10.3626,0.68,17,8,25,5,20,-227.1605,19302.4883
10,-188.357,1.4704,7.3654,0.56,14,11,25,4,21,-203.8221,15441.7324
11,-175.2722,1.6271,8.1491,0.7083,17,7,24,5,19,-194.2404,13108.5938
12,-194.298,1.9216,9.6217,0.7083,17,7,24,5,19,-207.6046,16117.6357
13,-203.8454,1.9146,9.5866,0.68,17,8,25,2,23,-228.4138,18166.0371
14,-204.7537,1.8851,9.438,0.64,16,9,25,5,20,-208.7089,17081.7539
15,-214.5921,2.0813,10.4183,0.68,17,8,25,2,23,-224.4317,18570.8672
16,-220.1419,2.1669,10.848,0.68,17,8,25,3,22,-220.9326,18559.9004
17,-191.3894,1.7218,8.6226,0.68,17,8,25,3,22,-207.3233,15728.0771
18,-194.9236,1.5933,7.9828,0.56,14,11,25,4,21,-210.6754,15649.4023
19,-232.8151,2.3633,11.8288,0.68,17,8,25,6,19,-241.0418,22728.625
20,-223.6768,2.1669,10.8501,0.6,15,10,25,6,19,-227.9191,19873.8672
21,-204.474,1.8802,9.4151,0.64,16,9,25,3,22,-209.1262,16561.9355
22,-195.9658,2.0695,10.36,0.6957,16,7,23,5,18,-198.2931,15688.6113
23,-213.8956,2.0352,10.1899,0.64,16,9,25,5,20,-217.3632,18204.3906
24,-225.5254,2.2264,11.1463,0.64,16,9,25,5,20,-213.9697,19023.8516
25,-235.8392,2.3807,11.9168,0.6,15,10,25,1,24,-239.739,21822.5195
26,-227.4776,2.4235,12.129,0.6667,16,8,24,8,16,-221.2301,19528.4277
27,-252.5755,2.8362,14.193,0.6667,16,8,24,2,22,-262.9146,25760.1797
28,-176.5497,1.2483,6.2558,0.56,14,11,25,4,21,-190.8391,13400.1211
29,-185.0564,1.624,8.1322,0.68,17,8,25,2,23,-201.0468,13807.0508
30,-182.0055,1.7312,8.6703,0.7083,17,7,24,3,21,-192.5124,13320.3242
31,-198.5969,1.988,9.9545,0.7083,17,7,24,5,19,-210.5362,16168.8164
32,-204.742,1.9282,9.6561,0.68,17,8,25,3,22,-220.8197,17702.3379
33,-242.5521,2.6712,13.3688,0.6667,16,8,24,6,18,-247.6036,23838.8984
34,-231.157,2.4838,12.4317,0.6667,16,8,24,4,20,-243.709,22764.6562
35,-233.8244,2.3451,11.7401,0.6,15,10,25,4,21,-220.4252,20705.416
36,-209.1292,1.9566,9.798,0.64,16,9,25,10,15,-207.3729,17216.2109
37,-227.979,2.3065,11.5495,0.72,18,7,25,3,22,-235.8718,20403.5156
38,-208.6517,1.9489,9.7587,0.64,16,9,25,7,18,-223.1205,17738.6348
39,-237.3633,2.4337,12.1808,0.68,17,8,25,4,21,-246.4001,22233.877
40,-231.4867,2.3247,11.6365,0.64,16,9,25,5,20,-241.3606,21491.2793
41,-199.3105,1.7949,8.9906,0.64,16,9,25,2,23,-206.7552,16040.3662
42,-189.782,1.697,8.4981,0.68,17,8,25,2,23,-195.02,14367.6758
43,-202.1804,1.8427,9.2264,0.64,16,9,25,7,18,-208.1906,16685.5664
44,-191.6187,1.6049,8.0378,0.6,15,10,25,1,24,-201.3555,15284.2852
45,-243.0627,2.5142,12.5888,0.64,16,9,25,6,19,-247.8712,23557.3594
46,-204.9474,1.8386,9.207,0.6,15,10,25,7,18,-209.0795,16556.3203
