episode,total_reward,avg_delay,avg_energy,completion_ratio,completed,failed,generated,standalone,collaborative,actor_loss,critic_loss
1,-190.7966,1.7123,8.5768,0.68,17,8,25,7,18,-195.8339,14291.2588
2,-235.6641,2.3933,11.98,0.64,16,9,25,4,21,-227.9653,19732.4043
3,-219.1915,2.122,10.6255,0.64,16,9,25,3,22,-230.3072,19764.9648
4,-213.4471,2.063,10.3299,0.68,17,8,25,6,19,-220.3489,17903.1309
5,-188.0686,1.6706,8.3654,0.68,17,8,25,5,20,-195.4626,14229.5527
6,-190.4643,1.935,9.6911,0.6522,15,8,23,5,18,-198.3798,14911.791
7,-185.1664,1.6257,8.1408,0.68,17,8,25,7,18,-190.4502,13654.7002
8,-235.4122,2.4034,12.0298,0.68,17,8,25,7,18,-229.4878,20981.8574
9,-192.8668,1.6898,8.4604,0.64,16,9,25,6,19,-194.8427,14132.5508
10,-200.5624,1.8638,9.3325,0.68,17,8,25,5,20,-203.3702,15627.7588
11,-184.5182,1.7169,8.5962,0.6667,16,8,24,5,19,-194.3645,13541.333
12,-191.725,1.8354,9.1888,0.6667,16,8,24,5,19,-196.3697,14514.8467
13,-188.0941,1.6112,8.0679,0.64,16,9,25,2,23,-196.9511,13917.9473
14,-214.6994,2.0482,10.2561,0.64,16,9,25,5,20,-207.5855,16895.4766
15,-210.2903,2.0146,10.0854,0.68,17,8,25,2,23,-217.9306,17173.1992
16,-211.5089,1.996,9.9936,0.64,16,9,25,4,21,-213.5448,17180.3281
17,-197.1911,1.8118,9.0715,0.68,17,8,25,3,22,-207.6964,15720.0752
18,-201.4943,1.8778,9.4048,0.68,17,8,25,4,21,-206.0389,15374.3828
19,-228.31,2.2933,11.4802,0.68,17,8,25,6,19,-228.6102,20730.0391
20,-212.7671,2.0165,10.0972,0.64,16,9,25,6,19,-213.121,17414.7051
21,-214.9525,2.0868,10.4462,0.68,17,8,25,3,22,-217.1404,17977.623
22,-203.4285,2.1918,10.9739,0.6957,16,7,23,5,18,-201.6086,16268.041
23,-208.2189,1.9825,9.925,0.68,17,8,25,5,20,-211.4916,17050.3281
24,-200.4899,1.8144,9.0876,0.64,16,9,25,5,20,-190.4557,14696.2627
25,-197.5073,1.7085,8.5542,0.6,15,10,25,1,24,-206.0448,15416.1289
26,-246.831,2.749,13.7582,0.625,15,9,24,8,16,-237.8302,23214.0938
27,-267.021,3.1032,15.5292,0.625,15,9,24,2,22,-262.9352,27777.1328
28,-198.4604,1.7812,8.9206,0.64,16,9,25,4,21,-200.0919,15298.7998
29,-195.5042,1.7855,8.941,0.68,17,8,25,2,23,-209.2856,15548.5322
30,-199.6833,2.0049,10.0385,0.7083,17,7,24,3,21,-210.7883,16164.5273
31,-212.3989,2.2017,11.0227,0.7083,17,7,24,5,19,-221.6604,18282.9199
32,-236.1972,2.4155,12.0906,0.68,17,8,25,3,22,-244.8064,22052.8184
33,-214.9394,2.2412,11.2193,0.7083,17,7,24,7,17,-214.0328,17676.5723
